EPA Facility ID,Chemical
100000062326,Flammable Mixture
100000166278,Methyltrichlorosilane  [Silane
100000166278,trichloromethyl-]
100000028917,Chlorine
100000028472,Chlorine
100000038684,Chlorine
100000032779,Ammonia (anhydrous)
100000240483,Difluoroethane  [Ethane
100000240483,"1,1-difluoro-]"
100000147717,Chlorine
100000051524,Ammonia (anhydrous)
100000101034,Ammonia (anhydrous)
100000220389,Chlorine
100000249689,Isobutane  [Propane
100000249689,2-methyl]
100000249689,Butane
100000188584,Propane
100000056299,Ammonia (anhydrous)
100000087906,Chlorine
100000087906,Sulfur dioxide (anhydrous)
100000086863,Chlorine
100000186372,Chlorine
100000141143,Ammonia (anhydrous)
100000038997,Ammonia (anhydrous)
100000122627,Ammonia (anhydrous)
100000054772,Ammonia (anhydrous)
100000101123,Ammonia (anhydrous)
100000057305,Hydrochloric acid (conc 37% or greater)
100000076179,Chlorine
100000076179,Sulfur dioxide (anhydrous)
100000076124,Chlorine
100000076044,Sulfur dioxide (anhydrous)
100000076044,Chlorine
100000054424,Chlorine dioxide  [Chlorine oxide (ClO2)]
100000101409,Formaldehyde (solution)
100000101409,Ammonia (conc 20% or greater)
100000101409,Epichlorohydrin  [Oxirane
100000101409,(chloromethyl)-]
100000175507,Chlorine
100000050963,Ammonia (anhydrous)
100000063138,Ammonia (anhydrous)
100000050936,Ammonia (anhydrous)
100000030316,Ammonia (anhydrous)
100000035776,Ammonia (anhydrous)
100000073136,Ammonia (anhydrous)
100000191133,Titanium tetrachloride  [Titanium chloride (TiCl4) (T-4)-]
100000143294,Chlorine
100000055664,Ammonia (anhydrous)
100000247592,Ammonia (anhydrous)
100000115207,Nitric acid (conc 80% or greater)
100000115207,Ammonia (anhydrous)
100000115207,Oleum (Fuming Sulfuric acid)  [Sulfuric acid
100000115207,mixture with sulfur trioxide]
100000201462,Hydrogen fluoride/Hydrofluoric acid (conc 50% or greater) [Hydrofluoric acid]
100000108901,Difluoroethane  [Ethane
100000108901,"1,1-difluoro-]"
100000108901,Titanium tetrachloride  [Titanium chloride (TiCl4) (T-4)-]
100000108901,Hydrochloric acid (conc 37% or greater)
100000108901,Isopentane  [Butane
100000108901,2-methyl-]
100000108901,Trifluorochloroethylene [Ethene
100000108901,chlorotrifluoro-]
100000108901,Trimethylamine [Methanamine
100000108901,"N,N-dimethyl-]"
100000108901,Formaldehyde (solution)
100000108901,Chloroform  [Methane
100000108901,trichloro-]
100000108901,Methyl chloride  [Methane
100000108901,chloro-]
100000108901,Propionitrile  [Propanenitrile]
100000108901,Allyl alcohol  [2-Propen-1-ol]
100000108901,Hydrazine
100000108901,Hydrogen fluoride/Hydrofluoric acid (conc 50% or greater) [Hydrofluoric acid]
100000108901,Isobutane  [Propane
100000108901,2-methyl]
100000108901,Isopropylamine [2-Propanamine]
100000108901,Vinylidene chloride [Ethene
100000108901,"1,1-dichloro-]"
100000108901,Pentane
100000108901,1-Pentene
100000108901,Dimethylamine  [Methanamine
100000108901,N-methyl-]
100000108901,2-Methyl-1-butene
100000108901,Dichlorosilane  [Silane
100000108901,dichloro-]
100000108901,Epichlorohydrin  [Oxirane
100000108901,(chloromethyl)-]
100000108901,Acrylonitrile  [2-Propenenitrile]
100000108901,Toluene diisocyanate (unspecified isomer)  [Benzene
100000108901,"1,3-diisocyanatomethyl-]"
100000108901,Ethyl ether  [Ethane
100000108901,"1,1'-oxybis-]"
100000108901,Phosphorus trichloride  [Phosphorous trichloride]
100000108901,Acrylyl chloride  [2-Propenoyl chloride]
100000108901,Carbon disulfide
100000108901,Hydrogen chloride (anhydrous) [Hydrochloric acid]
100000108901,Nitric acid (conc 80% or greater)
100000108901,Chlorine
100000108901,Vinyl chloride  [Ethene
100000108901,chloro-]
100000108901,Phosphorus oxychloride  [Phosphoryl chloride]
100000108901,Acetaldehyde
100000108901,Methyl mercaptan  [Methanethiol]
100000108901,Methyl ether  [Methane
100000108901,oxybis-]
100000108901,Ethyl chloride  [Ethane
100000108901,chloro-]
100000108901,Furan
100000108901,Methylamine  [Methanamine]
100000108901,"Isoprene  [1,3-Butadiene"
100000108901,2-methyl-]
100000108901,"Ethylenediamine  [1,2-Ethanediamine]"
100000092384,Ammonia (anhydrous)
100000092384,Bromine
100000092384,Chlorine
100000092384,Propylene oxide  [Oxirane
100000092384,methyl-]
100000092384,Sulfur dioxide (anhydrous)
100000092384,Sulfur trioxide
100000092384,Oleum (Fuming Sulfuric acid)  [Sulfuric acid
100000092384,mixture with sulfur trioxide]
100000117189,Boron trifluoride  [Borane
100000117189,trifluoro-]
100000117189,Phosgene  [Carbonic dichloride]
100000141571,Chlorine
100000188726,Chlorine
100000134204,Flammable Mixture
100000112282,Ammonia (anhydrous)
100000112282,Bromine
100000112282,Chlorine
100000112282,Phosgene  [Carbonic dichloride]
100000108135,Sulfur dioxide (anhydrous)
100000108135,Ammonia (anhydrous)
100000179497,Chlorine
100000041368,Chlorine
100000054308,Ammonia (anhydrous)
100000049057,Ammonia (anhydrous)
100000164065,Ammonia (anhydrous)
100000163627,Ammonia (anhydrous)
100000172813,Chloroform  [Methane
100000172813,trichloro-]
100000172813,Allyl alcohol  [2-Propen-1-ol]
100000172813,Crotonaldehyde  [2-Butenal]
100000172813,Vinyl acetate monomer  [Acetic acid ethenyl ester]
100000030496,Ammonia (anhydrous)
100000111915,Ammonia (anhydrous)
100000207812,Ammonia (anhydrous)
100000192016,Ammonia (anhydrous)
100000049468,Toluene diisocyanate (unspecified isomer)  [Benzene
100000049468,"1,3-diisocyanatomethyl-]"
100000157723,Chlorine
100000169337,Ammonia (anhydrous)
100000061283,Ammonia (anhydrous)
100000142605,Ammonia (anhydrous)
100000210835,Sulfur dioxide (anhydrous)
100000210835,Chlorine
100000159892,Ammonia (anhydrous)
100000075731,Chlorine
100000218542,Ammonia (anhydrous)
100000242588,Ammonia (anhydrous)
100000225687,Ammonia (anhydrous)
100000052499,Ammonia (anhydrous)
100000139192,Chlorine
100000127944,Sulfur dioxide (anhydrous)
100000127944,Chlorine
100000175491,Chlorine
100000075367,Ammonia (anhydrous)
100000027641,Ammonia (anhydrous)
100000139888,Bromine
100000139888,Chlorine
100000229317,Bromine
100000229317,Chlorine
100000052998,Ammonia (anhydrous)
100000060088,Formaldehyde (solution)
100000060088,Ammonia (conc 20% or greater)
100000128168,Chlorine
100000086195,Chlorine
100000086195,Sulfur dioxide (anhydrous)
100000086337,Chlorine
100000043482,Ammonia (anhydrous)
100000043482,Titanium tetrachloride  [Titanium chloride (TiCl4) (T-4)-]
100000043482,Chlorine
100000037051,Chlorine
100000120987,Ammonia (anhydrous)
100000049182,Ammonia (conc 20% or greater)
100000084099,Sulfur dioxide (anhydrous)
100000084099,Chlorine
100000102612,Ammonia (anhydrous)
100000181082,Ammonia (anhydrous)
100000181536,Ammonia (anhydrous)
100000215073,Chlorine
100000119212,Ammonia (anhydrous)
100000099608,Chlorine
100000071637,Chlorine
100000072967,Chlorine
100000071496,Chlorine
100000072903,Chlorine
100000180001,Chlorine
